bad_options,mauvaises_préfs,bad_jp,good_options,bonnes_préfs,good_jp,open_ended,ouvertes,open_jp,keanu_trivia
get chased by velociraptors,vous faire poursuivre par des vélociraptors,ヴェロキラプトルに追いかけられる,solve all the mysteries of the universe,résoudre tous les mystères de l'univers,宇宙のすべての謎を解く,"If you could choose a different name, what would it be and why?","Si vous pouviez choisir un autre nom, quel serait-il et pourquoi ?",もし別の名前を選べるとしたら、何にしますか？その理由は？,Keanu Reeves has a star on the Hollywood Walk of Fame.
get stranded on a desert island,vous retrouver coincé sur une île déserte,無人島に取り残される,meet your biggest idol,rencontrer votre plus grand idole,自分の最大のアイドルに会う,What would it be like if you could make up a holiday?,À quoi ressemblerait une fête que vous auriez inventée ?,もし自分で祝日を作れるとしたら、どんな感じになると思いますか？,Keanu Reeves is an advocavous for mental health awareness.
sink in quicksand,couler dans du sable mouvant,砂に沈む,train a cat to be your personal assistant,apprendre à un chat à être votre assistant personnel,猫を個人アシスタントとして訓練する,"What's the most powerful: air, fire, wind, or earth?","Quel est le plus puissant : l'air, le feu, le vent ou la terre ?",最も強力なのは何ですか：空気、火、風、または地球？,Keanu Reeves became the highest paid actor for a single production for reprising his Matrix role in its 2003 sequels Reloaded and Revolutions.
step in dog poo,marcher dans des crottes de chien,犬の糞の上に踏む,be the greatest storyteller,être le meilleur conteur d'histoires,最高のストーリーテラーになる,What's the best age to be and why?,Quel est le meilleur âge et pourquoi ?,どの年齢が一番良いと思いますか？その理由は？,Reeves' first name “Keanu” means “cool breeze over the mountains” and was derived from the name of his great-great-uncle Keaweaheulu.
blow up your career,faire exploser votre carrière,キャリアを爆発させる,be the next Albert Einstein,être le prochain albert einstein,次のアルバート・アインシュタインになる,"If you could travel back in time to any era, which one would it be and why?","Si vous pouviez voyager dans le temps à n'importe quelle époque, laquelle choisiriez-vous et pourquoi ?",もしどの時代にでもタイムトラベルできるとしたら、どの時代に行きたいですか？その理由は？,"Reeves' mother was a showgirl and costume designer, and his father was a drug dealer."
have incurable writer's block,avoir un blocage d'écrivain incurable,治らない作家のブロックに悩まされる,invent the next big thing in tech,inventer la prochaine grande innovation technologique,次の大ヒット技術を発明する,You have the technology to bring one dead historical figure back to life. Who would it be?,Vous avez la technologie pour ramener une figure historique décédée à la vie. Qui serait-ce ?,一人の歴史上の人物を生き返らせる技術があるとしたら、誰を選びますか？,Reeves was a successful ice hockey goalie which earned him the nickname “The Wall.”
be a scapegoat,être un bouc émissaire,スケープゴートになる,save the planet,sauver la planète,地球を救う,What's your favorite party game?,Quel est votre jeu de société préféré ?,あなたの好きなパーティーゲームは何ですか？,Keanu Reeves wrovous a book of sad poems titled An Ode to Happiness as a joke after a photo of him looking sad and eating a sandwich alone on a bench went viral.
be the butt of jokes,être la cible de blagues,ジョークの対象になる,save all the animals in the world,sauver tous les animaux du monde,世界中のすべての動物を救う,What do you want to be most known for?,Pour quoi voulez-vous être le plus connu ?,あなたは何で最も知られたいですか？,There is a movement called “Keanu Code” which claims that you can know about the hidden forces that control and influence the world by studying the movies Reeves starred in.
get sunburned,attraper un coup de soleil,日焼けする,save all the people in the world,sauver toutes les personnes du monde,世界中のすべての人々を救う,Is it better to be feared or loved?,Est-il mieux d'être craint ou aimé ?,恐れられる方が良いですか、それとも愛される方が良いですか？,Reeves dreamed of playing hockey for Canada but had to give it up because of an injury.
fall into a viper's nest,tomber dans un nid de vipères,毒蛇の巣に落ちる,attend the world's most exciting party,assister à la fête la plus excitante du monde,世界で最もエキサイティングなパーティーに参加する,"If hot dogs on buns are sandwiches, is a corn dog a wrap?","Si les hot-dogs dans des pains sont des sandwiches, un corn dog est-il un wrap ?",ホットドッグがパンに挟まれているのはサンドイッチなら、コーンドッグはラップですか？,"Reeves forwent tens of millions of salary for many movies including The Devil’s Advocate, The Replacements, and The Matrix sequels so that the money could be used to cast better actors or fund better special effects."
step on an anthill of fire ants,marcher sur un fourmilière de fourmis de feu,火蟻のアリ塚の上に踏む,have one week of uninterrupted peace and quiet,avoir une semaine de paix et de tranquillité ininterrompue,1週間の途切れない平和と静けさを持つ,Is a hot dog in a bun a sandwich?,Un hot-dog dans un pain est-il un sandwich ?,ホットドッグがパンに挟まれているのはサンドイッチですか？,"Keanu Reeves remains the highest paid actor in the world with a total income of $156,000,000 for The Matrix Reloaded and The Matrix Revolutions."
get sprayed by a skunk,vous faire asperger par un putois,スカンクに噴霧される,eradicavous a deadly disease from the world,éradiquer une maladie mortelle du monde,致命的な病気を世界から根絶する,"Why is it called a ""cinnamon bun"" and not a ""cinnamon roll""?","Pourquoi s'appelle-t-il un ""cinnamon bun"" et pas un ""cinnamon roll"" ?",なぜ「シナモンバン」と呼ばれるのですか？「シナモンロール」とは呼ばれないのですか？,"There is a conspiracy that believes that Keanu Reeves is immortal. Fans have noted that Keanu looks extremely similar to Paul Mounet, who was a French actor born in 1847, and they claim Keanu never seems to age."
get abducted by aliens,vous faire enlever par des extraterrestres,エイリアンに誘拐される,be well-loved ,être bien-aimé,愛される存在になる,"If the human egg is one cell, then is a chicken egg one giant egg cell?","Si l'œuf humain est une cellule, alors un œuf de poule est-il une énorme cellule œuf ?",人間の卵が一つの細胞なら、鶏の卵も一つの巨大な卵細胞ですか？,"In response to his sister’s battle with Leukemia, Reeves founded a privavous cancer charity which aids children’s hospitals and provides cancer research. He does not publicly attach his name to his donations."
never forget every unpleasant moment of your life,ne jamais oublier chaque moment désagréable de votre vie,人生のすべての不快な瞬間を決して忘れない,bring back the woolly mammoth,ramener le mammouth laineux,マンモスを復活させる,What is the last book you read?,Quel est le dernier livre que vous avez lu ?,あなたが最後に読んだ本は何ですか？,"Within five years, Reeves attended four high schools, including the Etobicoke School of the Arts, from which he was expelled."
get flattened by an exceptionally slow steamroller,vous faire aplatir par un rouleau compresseur exceptionnellement lent,非常に遅いローラーで押しつぶされる,build the perfect robot,construire le robot parfait,完璧なロボットを作る,What's the last movie you watched?,Quel est le dernier film que vous avez regardé ?,あなたが最後に見た映画は何ですか？,"Reeves excelled more in sports than in academics, as his educational development was challenged by dyslexia."
